DESCRIPTION,household_key,CAMPAIGN,START_DAY,END_DAY
TypeA,1452,26,10/11/2020,4/1/2021
TypeA,1426,26,10/11/2020,4/1/2021
TypeA,1421,26,10/11/2020,4/1/2021
TypeA,1420,26,10/11/2020,4/1/2021
TypeA,1405,26,10/11/2020,4/1/2021
TypeA,1393,26,10/11/2020,4/1/2021
TypeA,1391,26,10/11/2020,4/1/2021
TypeA,1388,26,10/11/2020,4/1/2021
TypeA,1385,26,10/11/2020,4/1/2021
TypeA,1382,26,10/11/2020,4/1/2021
TypeA,1378,26,10/11/2020,4/1/2021
TypeA,1366,26,10/11/2020,4/1/2021
TypeA,1364,26,10/11/2020,4/1/2021
TypeA,1178,26,10/11/2020,4/1/2021
TypeA,1172,26,10/11/2020,4/1/2021
TypeA,1138,26,10/11/2020,4/1/2021
TypeA,1130,26,10/11/2020,4/1/2021
TypeA,1123,26,10/11/2020,4/1/2021
TypeA,1121,26,10/11/2020,4/1/2021
TypeA,1116,26,10/11/2020,4/1/2021
TypeA,1113,26,10/11/2020,4/1/2021
TypeA,1104,26,10/11/2020,4/1/2021
TypeA,1098,26,10/11/2020,4/1/2021
TypeA,1082,26,10/11/2020,4/1/2021
TypeA,1070,26,10/11/2020,4/1/2021
TypeA,1065,26,10/11/2020,4/1/2021
TypeA,1060,26,10/11/2020,4/1/2021
TypeA,1055,26,10/11/2020,4/1/2021
TypeA,1051,26,10/11/2020,4/1/2021
TypeA,1042,26,10/11/2020,4/1/2021
TypeA,1018,26,10/11/2020,4/1/2021
TypeA,1012,26,10/11/2020,4/1/2021
TypeA,1003,26,10/11/2020,4/1/2021
TypeA,999,26,10/11/2020,4/1/2021
TypeA,996,26,10/11/2020,4/1/2021
TypeA,988,26,10/11/2020,4/1/2021
TypeA,987,26,10/11/2020,4/1/2021
TypeA,986,26,10/11/2020,4/1/2021
TypeA,979,26,10/11/2020,4/1/2021
TypeA,968,26,10/11/2020,4/1/2021
TypeA,960,26,10/11/2020,4/1/2021
TypeA,2168,26,10/11/2020,4/1/2021
TypeA,2161,26,10/11/2020,4/1/2021
TypeA,2148,26,10/11/2020,4/1/2021
TypeA,2134,26,10/11/2020,4/1/2021
TypeA,2116,26,10/11/2020,4/1/2021
TypeA,2114,26,10/11/2020,4/1/2021
TypeA,2111,26,10/11/2020,4/1/2021
TypeA,2110,26,10/11/2020,4/1/2021
TypeA,2095,26,10/11/2020,4/1/2021
TypeA,2088,26,10/11/2020,4/1/2021
TypeA,2078,26,10/11/2020,4/1/2021
TypeA,2076,26,10/11/2020,4/1/2021
TypeA,954,26,10/11/2020,4/1/2021
TypeA,947,26,10/11/2020,4/1/2021
TypeA,946,26,10/11/2020,4/1/2021
TypeA,938,26,10/11/2020,4/1/2021
TypeA,936,26,10/11/2020,4/1/2021
TypeA,934,26,10/11/2020,4/1/2021
TypeA,932,26,10/11/2020,4/1/2021
TypeA,928,26,10/11/2020,4/1/2021
TypeA,926,26,10/11/2020,4/1/2021
TypeA,924,26,10/11/2020,4/1/2021
TypeA,918,26,10/11/2020,4/1/2021
TypeA,909,26,10/11/2020,4/1/2021
TypeA,907,26,10/11/2020,4/1/2021
TypeA,895,26,10/11/2020,4/1/2021
TypeA,889,26,10/11/2020,4/1/2021
TypeA,883,26,10/11/2020,4/1/2021
TypeA,864,26,10/11/2020,4/1/2021
TypeA,834,26,10/11/2020,4/1/2021
TypeA,816,26,10/11/2020,4/1/2021
TypeA,812,26,10/11/2020,4/1/2021
TypeA,805,26,10/11/2020,4/1/2021
TypeA,788,26,10/11/2020,4/1/2021
TypeA,785,26,10/11/2020,4/1/2021
TypeA,784,26,10/11/2020,4/1/2021
TypeA,778,26,10/11/2020,4/1/2021
TypeA,760,26,10/11/2020,4/1/2021
TypeA,755,26,10/11/2020,4/1/2021
TypeA,737,26,10/11/2020,4/1/2021
TypeA,730,26,10/11/2020,4/1/2021
TypeA,718,26,10/11/2020,4/1/2021
TypeA,712,26,10/11/2020,4/1/2021
TypeA,710,26,10/11/2020,4/1/2021
TypeA,708,26,10/11/2020,4/1/2021
TypeA,706,26,10/11/2020,4/1/2021
TypeA,698,26,10/11/2020,4/1/2021
TypeA,693,26,10/11/2020,4/1/2021
TypeA,691,26,10/11/2020,4/1/2021
TypeA,682,26,10/11/2020,4/1/2021
TypeA,681,26,10/11/2020,4/1/2021
TypeA,674,26,10/11/2020,4/1/2021
TypeA,670,26,10/11/2020,4/1/2021
TypeA,669,26,10/11/2020,4/1/2021
TypeA,665,26,10/11/2020,4/1/2021
TypeA,654,26,10/11/2020,4/1/2021
TypeA,650,26,10/11/2020,4/1/2021
TypeA,641,26,10/11/2020,4/1/2021
TypeA,631,26,10/11/2020,4/1/2021
TypeA,624,26,10/11/2020,4/1/2021
TypeA,609,26,10/11/2020,4/1/2021
TypeA,603,26,10/11/2020,4/1/2021
TypeA,598,26,10/11/2020,4/1/2021
TypeA,583,26,10/11/2020,4/1/2021
TypeA,576,26,10/11/2020,4/1/2021
TypeA,575,26,10/11/2020,4/1/2021
TypeA,572,26,10/11/2020,4/1/2021
TypeA,567,26,10/11/2020,4/1/2021
TypeA,562,26,10/11/2020,4/1/2021
TypeA,560,26,10/11/2020,4/1/2021
TypeA,511,26,10/11/2020,4/1/2021
TypeA,495,26,10/11/2020,4/1/2021
TypeA,490,26,10/11/2020,4/1/2021
TypeA,480,26,10/11/2020,4/1/2021
TypeA,469,26,10/11/2020,4/1/2021
TypeA,464,26,10/11/2020,4/1/2021
TypeA,2016,26,10/11/2020,4/1/2021
TypeA,2009,26,10/11/2020,4/1/2021
TypeA,2006,26,10/11/2020,4/1/2021
TypeA,1998,26,10/11/2020,4/1/2021
TypeA,1975,26,10/11/2020,4/1/2021
TypeA,1974,26,10/11/2020,4/1/2021
TypeA,1971,26,10/11/2020,4/1/2021
TypeA,1961,26,10/11/2020,4/1/2021
TypeA,1959,26,10/11/2020,4/1/2021
TypeA,1957,26,10/11/2020,4/1/2021
TypeA,1955,26,10/11/2020,4/1/2021
TypeA,1943,26,10/11/2020,4/1/2021
TypeA,1939,26,10/11/2020,4/1/2021
TypeA,1937,26,10/11/2020,4/1/2021
TypeA,1936,26,10/11/2020,4/1/2021
TypeA,1929,26,10/11/2020,4/1/2021
TypeA,1928,26,10/11/2020,4/1/2021
TypeA,1923,26,10/11/2020,4/1/2021
TypeA,1917,26,10/11/2020,4/1/2021
TypeA,1916,26,10/11/2020,4/1/2021
TypeA,1914,26,10/11/2020,4/1/2021
TypeA,1899,26,10/11/2020,4/1/2021
TypeA,1883,26,10/11/2020,4/1/2021
TypeA,1873,26,10/11/2020,4/1/2021
TypeA,1872,26,10/11/2020,4/1/2021
TypeA,1865,26,10/11/2020,4/1/2021
TypeA,1861,26,10/11/2020,4/1/2021
TypeA,1856,26,10/11/2020,4/1/2021
TypeA,1852,26,10/11/2020,4/1/2021
TypeA,1835,26,10/11/2020,4/1/2021
TypeA,1828,26,10/11/2020,4/1/2021
TypeA,1818,26,10/11/2020,4/1/2021
TypeA,1808,26,10/11/2020,4/1/2021
TypeA,1803,26,10/11/2020,4/1/2021
TypeA,1784,26,10/11/2020,4/1/2021
TypeA,1783,26,10/11/2020,4/1/2021
TypeA,1779,26,10/11/2020,4/1/2021
TypeA,1756,26,10/11/2020,4/1/2021
TypeA,1747,26,10/11/2020,4/1/2021
TypeA,1745,26,10/11/2020,4/1/2021
TypeA,1733,26,10/11/2020,4/1/2021
TypeA,1729,26,10/11/2020,4/1/2021
TypeA,1726,26,10/11/2020,4/1/2021
TypeA,1722,26,10/11/2020,4/1/2021
TypeA,1710,26,10/11/2020,4/1/2021
TypeA,1707,26,10/11/2020,4/1/2021
TypeA,1683,26,10/11/2020,4/1/2021
TypeA,1677,26,10/11/2020,4/1/2021
TypeA,1675,26,10/11/2020,4/1/2021
TypeA,1642,26,10/11/2020,4/1/2021
TypeA,1350,26,10/11/2020,4/1/2021
TypeA,1331,26,10/11/2020,4/1/2021
TypeA,1317,26,10/11/2020,4/1/2021
TypeA,1299,26,10/11/2020,4/1/2021
TypeA,1292,26,10/11/2020,4/1/2021
TypeA,1287,26,10/11/2020,4/1/2021
TypeA,1266,26,10/11/2020,4/1/2021
TypeA,1264,26,10/11/2020,4/1/2021
TypeA,1263,26,10/11/2020,4/1/2021
TypeA,1260,26,10/11/2020,4/1/2021
TypeA,1258,26,10/11/2020,4/1/2021
TypeA,1256,26,10/11/2020,4/1/2021
TypeA,1245,26,10/11/2020,4/1/2021
TypeA,1238,26,10/11/2020,4/1/2021
TypeA,1233,26,10/11/2020,4/1/2021
TypeA,1229,26,10/11/2020,4/1/2021
TypeA,1197,26,10/11/2020,4/1/2021
TypeA,1184,26,10/11/2020,4/1/2021
TypeA,1182,26,10/11/2020,4/1/2021
TypeA,456,26,10/11/2020,4/1/2021
TypeA,454,26,10/11/2020,4/1/2021
TypeA,447,26,10/11/2020,4/1/2021
TypeA,437,26,10/11/2020,4/1/2021
TypeA,433,26,10/11/2020,4/1/2021
TypeA,432,26,10/11/2020,4/1/2021
TypeA,425,26,10/11/2020,4/1/2021
TypeA,420,26,10/11/2020,4/1/2021
TypeA,413,26,10/11/2020,4/1/2021
TypeA,409,26,10/11/2020,4/1/2021
TypeA,405,26,10/11/2020,4/1/2021
TypeA,404,26,10/11/2020,4/1/2021
TypeA,403,26,10/11/2020,4/1/2021
TypeA,381,26,10/11/2020,4/1/2021
TypeA,378,26,10/11/2020,4/1/2021
TypeA,374,26,10/11/2020,4/1/2021
TypeA,368,26,10/11/2020,4/1/2021
TypeA,367,26,10/11/2020,4/1/2021
TypeA,365,26,10/11/2020,4/1/2021
TypeA,364,26,10/11/2020,4/1/2021
TypeA,361,26,10/11/2020,4/1/2021
TypeA,350,26,10/11/2020,4/1/2021
TypeA,334,26,10/11/2020,4/1/2021
TypeA,332,26,10/11/2020,4/1/2021
TypeA,324,26,10/11/2020,4/1/2021
TypeA,319,26,10/11/2020,4/1/2021
TypeA,307,26,10/11/2020,4/1/2021
TypeA,305,26,10/11/2020,4/1/2021
TypeA,300,26,10/11/2020,4/1/2021
TypeA,294,26,10/11/2020,4/1/2021
TypeA,287,26,10/11/2020,4/1/2021
TypeA,281,26,10/11/2020,4/1/2021
TypeA,278,26,10/11/2020,4/1/2021
TypeA,271,26,10/11/2020,4/1/2021
TypeA,258,26,10/11/2020,4/1/2021
TypeA,257,26,10/11/2020,4/1/2021
TypeA,256,26,10/11/2020,4/1/2021
TypeA,239,26,10/11/2020,4/1/2021
TypeA,236,26,10/11/2020,4/1/2021
TypeA,235,26,10/11/2020,4/1/2021
TypeA,125,26,10/11/2020,4/1/2021
TypeA,122,26,10/11/2020,4/1/2021
TypeA,117,26,10/11/2020,4/1/2021
TypeA,114,26,10/11/2020,4/1/2021
TypeA,105,26,10/11/2020,4/1/2021
TypeA,96,26,10/11/2020,4/1/2021
TypeA,93,26,10/11/2020,4/1/2021
TypeA,85,26,10/11/2020,4/1/2021
TypeA,248,26,10/11/2020,4/1/2021
TypeA,219,26,10/11/2020,4/1/2021
TypeA,165,26,10/11/2020,4/1/2021
TypeA,162,26,10/11/2020,4/1/2021
TypeA,149,26,10/11/2020,4/1/2021
TypeA,68,26,10/11/2020,4/1/2021
TypeA,39,26,10/11/2020,4/1/2021
TypeA,32,26,10/11/2020,4/1/2021
TypeA,22,26,10/11/2020,4/1/2021
TypeA,14,30,3/21/2021,1/13/2019
TypeA,17,30,3/21/2021,1/13/2019
TypeA,27,30,3/21/2021,1/13/2019
TypeA,51,30,3/21/2021,1/13/2019
TypeA,210,30,3/21/2021,1/13/2019
TypeA,208,30,3/21/2021,1/13/2019
TypeA,193,30,3/21/2021,1/13/2019
TypeA,187,30,3/21/2021,1/13/2019
TypeA,181,30,3/21/2021,1/13/2019
TypeA,132,30,3/21/2021,1/13/2019
TypeA,131,30,3/21/2021,1/13/2019
TypeA,125,30,3/21/2021,1/13/2019
TypeA,122,30,3/21/2021,1/13/2019
TypeA,105,30,3/21/2021,1/13/2019
TypeA,96,30,3/21/2021,1/13/2019
TypeA,93,30,3/21/2021,1/13/2019
TypeA,85,30,3/21/2021,1/13/2019
TypeA,68,30,3/21/2021,1/13/2019
TypeA,1634,30,3/21/2021,1/13/2019
TypeA,1620,30,3/21/2021,1/13/2019
TypeA,1617,30,3/21/2021,1/13/2019
TypeA,1613,30,3/21/2021,1/13/2019
TypeA,1607,30,3/21/2021,1/13/2019
TypeA,1584,30,3/21/2021,1/13/2019
TypeA,1582,30,3/21/2021,1/13/2019
TypeA,1579,30,3/21/2021,1/13/2019
TypeA,1569,30,3/21/2021,1/13/2019
TypeA,1558,30,3/21/2021,1/13/2019
TypeA,1549,30,3/21/2021,1/13/2019
TypeA,1548,30,3/21/2021,1/13/2019
TypeA,1544,30,3/21/2021,1/13/2019
TypeA,1528,30,3/21/2021,1/13/2019
TypeA,1527,30,3/21/2021,1/13/2019
TypeA,1518,30,3/21/2021,1/13/2019
TypeA,1508,30,3/21/2021,1/13/2019
TypeA,1502,30,3/21/2021,1/13/2019
TypeA,1492,30,3/21/2021,1/13/2019
TypeA,1490,30,3/21/2021,1/13/2019
TypeA,1476,30,3/21/2021,1/13/2019
TypeA,1468,30,3/21/2021,1/13/2019
TypeA,1463,30,3/21/2021,1/13/2019
TypeA,1452,30,3/21/2021,1/13/2019
TypeA,1426,30,3/21/2021,1/13/2019
TypeA,1421,30,3/21/2021,1/13/2019
TypeA,1420,30,3/21/2021,1/13/2019
TypeA,1393,30,3/21/2021,1/13/2019
TypeA,1391,30,3/21/2021,1/13/2019
TypeA,1388,30,3/21/2021,1/13/2019
TypeA,1382,30,3/21/2021,1/13/2019
TypeA,1378,30,3/21/2021,1/13/2019
TypeA,1367,30,3/21/2021,1/13/2019
TypeA,1366,30,3/21/2021,1/13/2019
TypeA,1364,30,3/21/2021,1/13/2019
TypeA,1350,30,3/21/2021,1/13/2019
TypeA,1345,30,3/21/2021,1/13/2019
TypeA,1336,30,3/21/2021,1/13/2019
TypeA,1330,30,3/21/2021,1/13/2019
TypeA,1319,30,3/21/2021,1/13/2019
TypeA,1317,30,3/21/2021,1/13/2019
TypeA,1316,30,3/21/2021,1/13/2019
TypeA,1301,30,3/21/2021,1/13/2019
TypeA,1299,30,3/21/2021,1/13/2019
TypeA,1289,30,3/21/2021,1/13/2019
TypeA,1287,30,3/21/2021,1/13/2019
TypeA,1266,30,3/21/2021,1/13/2019
TypeA,1263,30,3/21/2021,1/13/2019
TypeA,1258,30,3/21/2021,1/13/2019
TypeA,1256,30,3/21/2021,1/13/2019
TypeA,1246,30,3/21/2021,1/13/2019
TypeA,1238,30,3/21/2021,1/13/2019
TypeA,1228,30,3/21/2021,1/13/2019
TypeA,1222,30,3/21/2021,1/13/2019
TypeA,1197,30,3/21/2021,1/13/2019
TypeA,1182,30,3/21/2021,1/13/2019
TypeA,934,30,3/21/2021,1/13/2019
TypeA,932,30,3/21/2021,1/13/2019
TypeA,928,30,3/21/2021,1/13/2019
TypeA,926,30,3/21/2021,1/13/2019
TypeA,924,30,3/21/2021,1/13/2019
TypeA,922,30,3/21/2021,1/13/2019
TypeA,918,30,3/21/2021,1/13/2019
TypeA,913,30,3/21/2021,1/13/2019
TypeA,909,30,3/21/2021,1/13/2019
TypeA,907,30,3/21/2021,1/13/2019
TypeA,903,30,3/21/2021,1/13/2019
TypeA,895,30,3/21/2021,1/13/2019
TypeA,889,30,3/21/2021,1/13/2019
TypeA,888,30,3/21/2021,1/13/2019
TypeA,883,30,3/21/2021,1/13/2019
TypeA,864,30,3/21/2021,1/13/2019
TypeA,861,30,3/21/2021,1/13/2019
TypeA,834,30,3/21/2021,1/13/2019
TypeA,816,30,3/21/2021,1/13/2019
TypeA,812,30,3/21/2021,1/13/2019
TypeA,806,30,3/21/2021,1/13/2019
TypeA,805,30,3/21/2021,1/13/2019
TypeA,803,30,3/21/2021,1/13/2019
TypeA,795,30,3/21/2021,1/13/2019
TypeA,788,30,3/21/2021,1/13/2019
TypeA,778,30,3/21/2021,1/13/2019
TypeA,776,30,3/21/2021,1/13/2019
TypeA,759,30,3/21/2021,1/13/2019
TypeA,755,30,3/21/2021,1/13/2019
TypeA,720,30,3/21/2021,1/13/2019
TypeA,718,30,3/21/2021,1/13/2019
TypeA,714,30,3/21/2021,1/13/2019
TypeA,712,30,3/21/2021,1/13/2019
TypeA,710,30,3/21/2021,1/13/2019
TypeA,706,30,3/21/2021,1/13/2019
TypeA,700,30,3/21/2021,1/13/2019
TypeA,699,30,3/21/2021,1/13/2019
TypeA,698,30,3/21/2021,1/13/2019
TypeA,691,30,3/21/2021,1/13/2019
TypeA,687,30,3/21/2021,1/13/2019
TypeA,684,30,3/21/2021,1/13/2019
TypeA,682,30,3/21/2021,1/13/2019
TypeA,681,30,3/21/2021,1/13/2019
TypeA,679,30,3/21/2021,1/13/2019
TypeA,676,30,3/21/2021,1/13/2019
TypeA,674,30,3/21/2021,1/13/2019
TypeA,670,30,3/21/2021,1/13/2019
TypeA,669,30,3/21/2021,1/13/2019
TypeA,654,30,3/21/2021,1/13/2019
TypeA,650,30,3/21/2021,1/13/2019
TypeA,642,30,3/21/2021,1/13/2019
TypeA,641,30,3/21/2021,1/13/2019
TypeA,635,30,3/21/2021,1/13/2019
TypeA,631,30,3/21/2021,1/13/2019
TypeA,630,30,3/21/2021,1/13/2019
TypeA,624,30,3/21/2021,1/13/2019
TypeA,609,30,3/21/2021,1/13/2019
TypeA,604,30,3/21/2021,1/13/2019
TypeA,603,30,3/21/2021,1/13/2019
TypeA,598,30,3/21/2021,1/13/2019
TypeA,588,30,3/21/2021,1/13/2019
TypeA,578,30,3/21/2021,1/13/2019
TypeA,576,30,3/21/2021,1/13/2019
TypeA,575,30,3/21/2021,1/13/2019
TypeA,572,30,3/21/2021,1/13/2019
TypeA,568,30,3/21/2021,1/13/2019
TypeA,560,30,3/21/2021,1/13/2019
TypeA,536,30,3/21/2021,1/13/2019
TypeA,533,30,3/21/2021,1/13/2019
TypeA,529,30,3/21/2021,1/13/2019
TypeA,511,30,3/21/2021,1/13/2019
TypeA,495,30,3/21/2021,1/13/2019
TypeA,490,30,3/21/2021,1/13/2019
TypeA,2493,30,3/21/2021,1/13/2019
TypeA,2489,30,3/21/2021,1/13/2019
TypeA,2477,30,3/21/2021,1/13/2019
TypeA,2459,30,3/21/2021,1/13/2019
TypeA,2457,30,3/21/2021,1/13/2019
TypeA,2452,30,3/21/2021,1/13/2019
TypeA,2451,30,3/21/2021,1/13/2019
TypeA,2448,30,3/21/2021,1/13/2019
TypeA,2445,30,3/21/2021,1/13/2019
TypeA,2443,30,3/21/2021,1/13/2019
TypeA,2441,30,3/21/2021,1/13/2019
TypeA,2429,30,3/21/2021,1/13/2019
TypeA,2427,30,3/21/2021,1/13/2019
TypeA,2420,30,3/21/2021,1/13/2019
TypeA,2407,30,3/21/2021,1/13/2019
TypeA,2406,30,3/21/2021,1/13/2019
TypeA,2377,30,3/21/2021,1/13/2019
TypeA,2371,30,3/21/2021,1/13/2019
TypeA,2356,30,3/21/2021,1/13/2019
TypeA,2345,30,3/21/2021,1/13/2019
TypeA,2341,30,3/21/2021,1/13/2019
TypeA,2334,30,3/21/2021,1/13/2019
TypeA,2331,30,3/21/2021,1/13/2019
TypeA,2328,30,3/21/2021,1/13/2019
TypeA,2324,30,3/21/2021,1/13/2019
TypeA,2318,30,3/21/2021,1/13/2019
TypeA,2317,30,3/21/2021,1/13/2019
TypeA,2316,30,3/21/2021,1/13/2019
TypeA,2307,30,3/21/2021,1/13/2019
TypeA,2305,30,3/21/2021,1/13/2019
TypeA,2294,30,3/21/2021,1/13/2019
TypeA,2280,30,3/21/2021,1/13/2019
TypeA,2274,30,3/21/2021,1/13/2019
TypeA,2263,30,3/21/2021,1/13/2019
TypeA,2262,30,3/21/2021,1/13/2019
TypeA,2244,30,3/21/2021,1/13/2019
TypeA,2240,30,3/21/2021,1/13/2019
TypeA,2233,30,3/21/2021,1/13/2019
TypeA,2228,30,3/21/2021,1/13/2019
TypeA,2224,30,3/21/2021,1/13/2019
TypeA,2223,30,3/21/2021,1/13/2019
TypeA,2215,30,3/21/2021,1/13/2019
TypeA,2208,30,3/21/2021,1/13/2019
TypeA,2207,30,3/21/2021,1/13/2019
TypeA,2205,30,3/21/2021,1/13/2019
TypeA,2200,30,3/21/2021,1/13/2019
TypeA,2194,30,3/21/2021,1/13/2019
TypeA,2193,30,3/21/2021,1/13/2019
TypeA,2186,30,3/21/2021,1/13/2019
TypeA,2185,30,3/21/2021,1/13/2019
TypeA,2183,30,3/21/2021,1/13/2019
TypeA,2182,30,3/21/2021,1/13/2019
TypeA,2168,30,3/21/2021,1/13/2019
TypeA,2148,30,3/21/2021,1/13/2019
TypeA,2146,30,3/21/2021,1/13/2019
TypeA,2141,30,3/21/2021,1/13/2019
TypeA,2137,30,3/21/2021,1/13/2019
TypeA,2134,30,3/21/2021,1/13/2019
TypeA,2124,30,3/21/2021,1/13/2019
TypeA,2116,30,3/21/2021,1/13/2019
TypeA,2114,30,3/21/2021,1/13/2019
TypeA,2111,30,3/21/2021,1/13/2019
TypeA,2110,30,3/21/2021,1/13/2019
TypeA,2102,30,3/21/2021,1/13/2019
TypeA,2097,30,3/21/2021,1/13/2019
TypeA,2088,30,3/21/2021,1/13/2019
TypeA,2078,30,3/21/2021,1/13/2019
TypeA,2076,30,3/21/2021,1/13/2019
TypeA,2063,30,3/21/2021,1/13/2019
TypeA,2062,30,3/21/2021,1/13/2019
TypeA,2058,30,3/21/2021,1/13/2019
TypeA,2051,30,3/21/2021,1/13/2019
TypeA,2050,30,3/21/2021,1/13/2019
TypeA,2046,30,3/21/2021,1/13/2019
TypeA,1919,30,3/21/2021,1/13/2019
TypeA,1917,30,3/21/2021,1/13/2019
TypeA,1916,30,3/21/2021,1/13/2019
TypeA,1914,30,3/21/2021,1/13/2019
TypeA,1883,30,3/21/2021,1/13/2019
TypeA,1873,30,3/21/2021,1/13/2019
TypeA,1865,30,3/21/2021,1/13/2019
TypeA,1861,30,3/21/2021,1/13/2019
TypeA,1856,30,3/21/2021,1/13/2019
TypeA,1852,30,3/21/2021,1/13/2019
TypeA,1835,30,3/21/2021,1/13/2019
TypeA,1833,30,3/21/2021,1/13/2019
TypeA,1828,30,3/21/2021,1/13/2019
TypeA,1825,30,3/21/2021,1/13/2019
TypeA,1808,30,3/21/2021,1/13/2019
TypeA,1806,30,3/21/2021,1/13/2019
TypeA,1803,30,3/21/2021,1/13/2019
TypeA,1783,30,3/21/2021,1/13/2019
TypeA,1779,30,3/21/2021,1/13/2019
TypeA,1772,30,3/21/2021,1/13/2019
TypeA,1769,30,3/21/2021,1/13/2019
TypeA,1756,30,3/21/2021,1/13/2019
TypeA,1754,30,3/21/2021,1/13/2019
TypeA,1747,30,3/21/2021,1/13/2019
TypeA,1745,30,3/21/2021,1/13/2019
TypeA,1731,30,3/21/2021,1/13/2019
TypeA,1729,30,3/21/2021,1/13/2019
TypeA,1710,30,3/21/2021,1/13/2019
TypeA,1707,30,3/21/2021,1/13/2019
TypeA,1705,30,3/21/2021,1/13/2019
TypeA,1677,30,3/21/2021,1/13/2019
TypeA,1675,30,3/21/2021,1/13/2019
TypeA,1671,30,3/21/2021,1/13/2019
TypeA,1642,30,3/21/2021,1/13/2019
TypeA,1178,30,3/21/2021,1/13/2019
TypeA,1163,30,3/21/2021,1/13/2019
TypeA,1139,30,3/21/2021,1/13/2019
